,A,LFICA: Lipoaffinity index composition of A,LFIAB: Lipoaffinity index transition between A and B,LFIA0: Lipoaffinity index distribution of 0.00A,LFIA1: Lipoaffinity index distribution of 0.25A,LFIA2: Lipoaffinity index distribution of 0.50A,LFIA3: Lipoaffinity index distribution of 0.75A,LFIA4: Lipoaffinity index distribution of 1.00A,LFIAB: Lipoaffinity index_3 transition between A and B,LFIAC: Lipoaffinity index_3 transition between A and C,LFI: Lipoaffinity index0,LFI: Lipoaffinity index00,LFI: Lipoaffinity index01,LFI: Lipoaffinity index10,LFI: Lipoaffinity index_301,LFI: Lipoaffinity index_302,LFI: Lipoaffinity index_310,LFI: Lipoaffinity index_320,LFI: Lipoaffinity index000,LFI: Lipoaffinity index001,LFI: Lipoaffinity index010,LFI: Lipoaffinity index011,LFI: Lipoaffinity index100,LFI: Lipoaffinity index101,LFI: Lipoaffinity index110,LFI: Lipoaffinity index_3001,LFI: Lipoaffinity index_3002,LFI: Lipoaffinity index_3010,LFI: Lipoaffinity index_3011,LFI: Lipoaffinity index_3012,LFI: Lipoaffinity index_3020,LFI: Lipoaffinity index_3021,LFI: Lipoaffinity index_3022,LFI: Lipoaffinity index_3100,LFI: Lipoaffinity index_3101,LFI: Lipoaffinity index_3102,LFI: Lipoaffinity index_3110,LFI: Lipoaffinity index_3120,LFI: Lipoaffinity index_3200,LFI: Lipoaffinity index_3201,LFI: Lipoaffinity index_3202,LFI: Lipoaffinity index_3210,LFI: Lipoaffinity index_3220
60,1NEM,0.782609,0.363636,0.043478,0.217391,0.434783,0.782609,1.0,0.090909,0.227273,782.608704,565.217407,173.91304,173.91304,43.47826,86.95652,43.47826,130.434784,391.304352,130.434784,130.434784,43.47826,130.434784,43.47826,43.47826,43.47826,43.47826,0.0,0.0,43.47826,0.0,43.47826,43.47826,43.47826,0.0,0.0,0.0,86.95652,86.95652,0.0,43.47826,43.47826,43.47826
61,1AM0,0.775,0.25641,0.025,0.2,0.525,0.725,1.0,0.153846,0.282051,775.0,625.0,125.0,125.0,75.0,125.0,75.0,150.0,500.0,100.0,50.0,75.0,100.0,25.0,75.0,25.0,75.0,25.0,25.0,25.0,50.0,0.0,75.0,75.0,0.0,0.0,50.0,25.0,50.0,50.0,50.0,0.0,75.0
62,2G9C,0.746269,0.393939,0.014925,0.253731,0.522388,0.791045,1.0,0.333333,0.287879,746.268677,537.313416,194.029846,194.029846,149.253738,149.253738,179.104477,134.328354,388.059692,134.328354,149.253738,44.776119,134.328354,59.701492,44.776119,29.850746,59.701492,104.477615,44.776119,0.0,89.552238,14.925373,44.776119,59.701492,59.701492,59.701492,29.850746,14.925373,44.776119,59.701492,29.850746,44.776119,29.850746
63,2TOB,0.75,0.368421,0.1,0.25,0.45,0.65,1.0,0.210526,0.263158,750.0,550.0,150.0,200.0,100.0,100.0,100.0,150.0,350.0,150.0,100.0,50.0,200.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,0.0,0.0,100.0
64,1AM0,0.775,0.25641,0.025,0.2,0.525,0.725,1.0,0.153846,0.282051,775.0,625.0,125.0,125.0,75.0,125.0,75.0,150.0,500.0,100.0,50.0,75.0,100.0,25.0,75.0,25.0,75.0,25.0,25.0,25.0,50.0,0.0,75.0,75.0,0.0,0.0,50.0,25.0,50.0,50.0,50.0,0.0,75.0
65,2ESJ,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
66,2F4U,0.809524,0.3,0.047619,0.190476,0.47619,0.809524,1.0,0.2,0.45,809.523804,619.047607,142.857147,142.857147,95.238098,190.476196,95.238098,238.095245,476.190491,95.238098,95.238098,47.619049,95.238098,47.619049,47.619049,47.619049,95.238098,95.238098,0.0,0.0,95.238098,47.619049,47.619049,47.619049,47.619049,0.0,0.0,47.619049,95.238098,0.0,95.238098,0.0,47.619049
67,1F27,0.545455,0.1,0.545455,0.636364,0.727273,0.818182,1.0,0.0,0.1,545.454529,454.545441,0.0,90.909088,0.0,0.0,0.0,90.909088,363.636353,0.0,0.0,0.0,90.909088,0.0,90.909088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.909088,90.909088,0.0,0.0,0.0,0.0
68,2GIS,0.691489,0.376344,0.010638,0.234043,0.457447,0.723404,0.989362,0.172043,0.236559,691.48938,500.0,191.489365,180.851059,74.468086,127.659576,95.744682,106.38298,351.063843,148.936172,106.38298,74.468086,138.297867,42.553192,74.468086,53.19149,53.19149,10.638298,31.914894,21.276596,31.914894,42.553192,53.19149,53.19149,0.0,42.553192,53.19149,21.276596,53.19149,21.276596,31.914894,31.914894,53.19149
69,2ET8,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
70,1TOB,0.814815,0.384615,0.037037,0.296296,0.518519,0.777778,1.0,0.269231,0.307692,814.814819,592.59259,185.185181,185.185181,148.148148,111.111115,111.111115,185.185181,407.40741,148.148148,185.185181,0.0,148.148148,37.037037,0.0,74.074074,37.037037,111.111115,0.0,37.037037,74.074074,37.037037,0.0,37.037037,37.037037,37.037037,0.0,37.037037,111.111115,37.037037,37.037037,0.0,74.074074
71,1Y27,0.75,0.38806,0.014706,0.264706,0.529412,0.735294,1.0,0.328358,0.283582,750.0,544.117676,191.176468,191.176468,147.058823,147.058823,176.470581,132.352936,382.352936,147.058823,147.058823,44.117645,147.058823,44.117645,44.117645,44.117645,58.823528,102.941177,44.117645,0.0,73.529411,14.705882,58.823528,73.529411,44.117645,58.823528,29.411764,14.705882,44.117645,58.823528,29.411764,44.117645,44.117645
72,1O15,0.787879,0.3125,0.030303,0.242424,0.575758,0.787879,1.0,0.15625,0.3125,787.878784,606.060608,151.515152,151.515152,90.909088,121.21212,60.60606,181.818176,454.545441,121.21212,121.21212,30.30303,121.21212,30.30303,30.30303,30.30303,60.60606,30.30303,0.0,60.60606,30.30303,60.60606,30.30303,30.30303,30.30303,0.0,0.0,60.60606,90.909088,30.30303,60.60606,30.30303,90.909088
73,2FCZ,0.695652,0.454545,0.043478,0.173913,0.434783,0.652174,1.0,0.272727,0.318182,695.652161,434.782623,217.391312,217.391312,173.91304,130.434784,86.95652,173.91304,304.347839,130.434784,130.434784,86.95652,86.95652,86.95652,86.95652,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,86.95652,43.47826,86.95652,43.47826,0.0,0.0
74,1FYP,0.888889,0.153846,0.037037,0.222222,0.481481,0.703704,1.0,0.076923,0.423077,888.888916,777.777771,74.074074,74.074074,37.037037,185.185181,37.037037,222.222229,666.666687,74.074074,37.037037,37.037037,74.074074,0.0,37.037037,0.0,111.111115,37.037037,0.0,0.0,111.111115,37.037037,37.037037,37.037037,0.0,0.0,0.0,37.037037,111.111115,37.037037,74.074074,0.0,74.074074
75,1NEM,0.782609,0.363636,0.043478,0.217391,0.434783,0.782609,1.0,0.090909,0.227273,782.608704,565.217407,173.91304,173.91304,43.47826,86.95652,43.47826,130.434784,391.304352,130.434784,130.434784,43.47826,130.434784,43.47826,43.47826,43.47826,43.47826,0.0,0.0,43.47826,0.0,43.47826,43.47826,43.47826,0.0,0.0,0.0,86.95652,86.95652,0.0,43.47826,43.47826,43.47826
76,1HNW,1.0,0.0,0.166667,0.333333,0.5,0.666667,1.0,0.0,0.0,1000.0,833.333313,0.0,0.0,0.0,0.0,0.0,0.0,666.666687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1Y26,0.71831,0.4,0.014085,0.267606,0.492958,0.71831,1.0,0.271429,0.171429,718.309875,507.042267,197.183105,197.183105,126.760567,98.591553,140.845078,70.422539,352.112671,140.845078,126.760567,70.422539,140.845078,56.338028,70.422539,84.507042,28.169014,70.422539,56.338028,0.0,14.084507,42.253521,28.169014,56.338028,42.253521,42.253521,42.253521,42.253521,56.338028,0.0,14.084507,28.169014,14.084507
78,2O3X,0.826087,0.272727,0.043478,0.217391,0.521739,0.695652,1.0,0.181818,0.454545,826.086975,652.173889,130.434784,130.434784,86.95652,217.391312,86.95652,217.391312,521.739136,86.95652,86.95652,43.47826,86.95652,43.47826,43.47826,43.47826,130.434784,86.95652,0.0,0.0,130.434784,43.47826,43.47826,43.47826,43.47826,0.0,0.0,43.47826,86.95652,0.0,86.95652,0.0,43.47826
79,1PBR,0.851852,0.230769,0.037037,0.222222,0.518519,0.703704,1.0,0.153846,0.346154,851.851868,703.703674,111.111115,111.111115,74.074074,148.148148,74.074074,185.185181,592.59259,74.074074,74.074074,37.037037,74.074074,37.037037,37.037037,37.037037,74.074074,74.074074,0.0,0.0,74.074074,37.037037,37.037037,37.037037,37.037037,0.0,0.0,37.037037,111.111115,0.0,74.074074,0.0,74.074074
80,3GX2,0.702128,0.365591,0.010638,0.234043,0.468085,0.734043,1.0,0.16129,0.247312,702.127686,510.638306,180.851059,180.851059,63.829788,138.297867,95.744682,106.38298,361.702118,138.297867,106.38298,74.468086,138.297867,42.553192,74.468086,42.553192,63.829788,10.638298,31.914894,21.276596,31.914894,42.553192,53.19149,53.19149,0.0,42.553192,53.19149,21.276596,53.19149,21.276596,31.914894,31.914894,53.19149
81,1MWL,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
82,1Y26,0.71831,0.4,0.014085,0.267606,0.492958,0.71831,1.0,0.271429,0.171429,718.309875,507.042267,197.183105,197.183105,126.760567,98.591553,140.845078,70.422539,352.112671,140.845078,126.760567,70.422539,140.845078,56.338028,70.422539,84.507042,28.169014,70.422539,56.338028,0.0,14.084507,42.253521,28.169014,56.338028,42.253521,42.253521,42.253521,42.253521,56.338028,0.0,14.084507,28.169014,14.084507
83,3SUX,0.762376,0.34,0.009901,0.287129,0.50495,0.792079,1.0,0.18,0.31,762.376221,584.158386,168.316833,168.316833,89.10891,148.514847,89.10891,158.415848,435.643555,138.613861,128.712875,39.603962,138.613861,29.702971,39.603962,19.801981,59.405941,39.603962,19.801981,29.702971,89.10891,29.702971,29.702971,29.702971,19.801981,39.603962,19.801981,29.702971,59.405941,49.504951,49.504951,29.702971,39.603962
84,4FE5,0.746269,0.393939,0.014925,0.253731,0.522388,0.791045,1.0,0.333333,0.287879,746.268677,537.313416,194.029846,194.029846,149.253738,149.253738,179.104477,134.328354,388.059692,134.328354,149.253738,44.776119,134.328354,59.701492,44.776119,29.850746,59.701492,104.477615,44.776119,0.0,89.552238,14.925373,44.776119,59.701492,59.701492,59.701492,29.850746,14.925373,44.776119,59.701492,29.850746,44.776119,29.850746
85,1F1T,0.736842,0.432432,0.026316,0.210526,0.447368,0.736842,1.0,0.189189,0.216216,736.842102,500.0,210.526321,210.526321,52.63158,131.578949,131.578949,78.947365,289.473694,184.210526,157.89473,52.63158,184.210526,26.31579,52.63158,26.31579,52.63158,0.0,26.31579,26.31579,0.0,78.947365,52.63158,78.947365,0.0,52.63158,52.63158,26.31579,26.31579,26.31579,26.31579,78.947365,52.63158
86,2OE5,0.705882,0.25,0.058824,0.176471,0.647059,0.823529,1.0,0.1875,0.25,705.882324,529.411743,117.647057,117.647057,117.647057,58.823528,58.823528,176.470581,352.941162,117.647057,58.823528,58.823528,117.647057,0.0,58.823528,58.823528,58.823528,58.823528,58.823528,0.0,58.823528,0.0,0.0,58.823528,0.0,0.0,0.0,58.823528,117.647057,58.823528,0.0,0.0,58.823528
87,1BYJ,0.851852,0.230769,0.037037,0.222222,0.518519,0.703704,1.0,0.153846,0.346154,851.851868,703.703674,111.111115,111.111115,74.074074,148.148148,74.074074,185.185181,592.59259,74.074074,74.074074,37.037037,74.074074,37.037037,37.037037,37.037037,74.074074,74.074074,0.0,0.0,74.074074,37.037037,37.037037,37.037037,37.037037,0.0,0.0,37.037037,111.111115,0.0,74.074074,0.0,74.074074
88,1FJG,0.795664,0.295858,0.000657,0.241787,0.496715,0.747043,1.0,0.16568,0.309007,795.663574,647.174744,147.831802,147.831802,81.471748,155.716156,84.099869,153.088043,519.710876,126.806831,103.153748,44.678055,126.806831,21.024967,44.678055,40.735874,66.360054,33.508541,24.967148,22.996058,64.388962,29.56636,61.760841,36.136662,13.140604,34.822601,24.967148,32.851513,70.959267,27.59527,54.533508,25.624178,55.847569
89,1EHT,0.787879,0.3125,0.030303,0.242424,0.575758,0.787879,1.0,0.15625,0.3125,787.878784,606.060608,151.515152,151.515152,90.909088,121.21212,60.60606,181.818176,454.545441,121.21212,121.21212,30.30303,121.21212,30.30303,30.30303,30.30303,60.60606,30.30303,0.0,60.60606,30.30303,60.60606,30.30303,30.30303,30.30303,0.0,0.0,60.60606,90.909088,30.30303,60.60606,30.30303,90.909088
