,A,HPCCA: Gas-hexadecane PC composition of A,HPCAB: Gas-hexadecane PC transition between A and B,HPCA0: Gas-hexadecane PC distribution of 0.00A,HPCA1: Gas-hexadecane PC distribution of 0.25A,HPCA2: Gas-hexadecane PC distribution of 0.50A,HPCA3: Gas-hexadecane PC distribution of 0.75A,HPCA4: Gas-hexadecane PC distribution of 1.00A,HPCAB: Gas-hexadecane PC_3 transition between A and B,HPCAC: Gas-hexadecane PC_3 transition between A and C,HPC: Gas-hexadecane PC0,HPC: Gas-hexadecane PC00,HPC: Gas-hexadecane PC01,HPC: Gas-hexadecane PC10,HPC: Gas-hexadecane PC_301,HPC: Gas-hexadecane PC_302,HPC: Gas-hexadecane PC_310,HPC: Gas-hexadecane PC_320,HPC: Gas-hexadecane PC000,HPC: Gas-hexadecane PC001,HPC: Gas-hexadecane PC010,HPC: Gas-hexadecane PC011,HPC: Gas-hexadecane PC100,HPC: Gas-hexadecane PC101,HPC: Gas-hexadecane PC110,HPC: Gas-hexadecane PC_3001,HPC: Gas-hexadecane PC_3002,HPC: Gas-hexadecane PC_3010,HPC: Gas-hexadecane PC_3011,HPC: Gas-hexadecane PC_3012,HPC: Gas-hexadecane PC_3020,HPC: Gas-hexadecane PC_3021,HPC: Gas-hexadecane PC_3022,HPC: Gas-hexadecane PC_3100,HPC: Gas-hexadecane PC_3101,HPC: Gas-hexadecane PC_3102,HPC: Gas-hexadecane PC_3110,HPC: Gas-hexadecane PC_3120,HPC: Gas-hexadecane PC_3200,HPC: Gas-hexadecane PC_3201,HPC: Gas-hexadecane PC_3202,HPC: Gas-hexadecane PC_3210,HPC: Gas-hexadecane PC_3220
59,2FD0,0.73913,0.5,0.086957,0.26087,0.434783,0.782609,1.0,0.409091,0.181818,739.130432,478.260864,217.391312,260.869568,217.391312,43.47826,173.91304,130.434784,304.347839,130.434784,217.391312,0.0,173.91304,86.95652,0.0,43.47826,43.47826,173.91304,0.0,43.47826,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,43.47826,86.95652,0.0,0.0,43.47826
60,1NEM,0.826087,0.227273,0.043478,0.26087,0.521739,0.695652,0.913043,0.136364,0.181818,826.086975,695.652161,130.434784,86.95652,86.95652,86.95652,43.47826,86.95652,565.217407,130.434784,86.95652,43.47826,86.95652,0.0,0.0,86.95652,86.95652,43.47826,0.0,43.47826,0.0,43.47826,43.47826,43.47826,0.0,0.0,0.0,43.47826,86.95652,0.0,0.0,0.0,43.47826
61,1AM0,0.75,0.333333,0.025,0.2,0.4,0.625,0.925,0.25641,0.179487,750.0,575.0,175.0,150.0,150.0,75.0,100.0,100.0,425.0,150.0,125.0,50.0,125.0,25.0,25.0,100.0,50.0,50.0,50.0,50.0,50.0,0.0,25.0,75.0,25.0,0.0,25.0,25.0,50.0,25.0,25.0,25.0,25.0
62,2G9C,0.761194,0.348485,0.014925,0.238806,0.477612,0.746269,0.970149,0.272727,0.348485,761.194031,582.089539,179.104477,164.179108,119.402985,194.029846,149.253738,149.253738,462.686554,119.402985,119.402985,59.701492,104.477615,59.701492,44.776119,44.776119,74.626869,89.552238,29.850746,0.0,119.402985,44.776119,29.850746,44.776119,59.701492,44.776119,44.776119,14.925373,59.701492,14.925373,74.626869,14.925373,14.925373
63,2TOB,0.95,0.105263,0.05,0.3,0.55,0.75,1.0,0.052632,0.421053,950.0,850.0,50.0,50.0,50.0,200.0,0.0,200.0,800.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,200.0,0.0,0.0,50.0,100.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,100.0
64,1AM0,0.75,0.333333,0.025,0.2,0.4,0.625,0.925,0.25641,0.179487,750.0,575.0,175.0,150.0,150.0,75.0,100.0,100.0,425.0,150.0,125.0,50.0,125.0,25.0,25.0,100.0,50.0,50.0,50.0,50.0,50.0,0.0,25.0,75.0,25.0,0.0,25.0,25.0,50.0,25.0,25.0,25.0,25.0
65,2ESJ,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
66,2F4U,0.666667,0.55,0.047619,0.285714,0.571429,0.714286,0.952381,0.45,0.2,666.666687,380.952393,285.714294,238.095245,190.476196,142.857147,238.095245,47.619049,285.714294,95.238098,190.476196,47.619049,95.238098,142.857147,47.619049,0.0,95.238098,95.238098,47.619049,0.0,47.619049,95.238098,0.0,47.619049,142.857147,47.619049,47.619049,0.0,47.619049,0.0,0.0,95.238098,0.0
67,1F27,0.727273,0.3,0.090909,0.181818,0.363636,0.545455,0.909091,0.0,0.1,727.272705,545.454529,181.818176,90.909088,0.0,90.909088,0.0,0.0,454.545441,90.909088,0.0,90.909088,0.0,90.909088,90.909088,0.0,90.909088,0.0,0.0,0.0,0.0,90.909088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2GIS,0.776596,0.27957,0.010638,0.212766,0.489362,0.776596,1.0,0.225806,0.182796,776.595764,627.659546,138.297867,138.297867,117.021278,85.106384,106.38298,95.744682,489.361694,138.297867,74.468086,63.829788,127.659576,0.0,63.829788,95.744682,63.829788,42.553192,53.19149,21.276596,53.19149,10.638298,21.276596,85.106384,0.0,10.638298,53.19149,21.276596,63.829788,21.276596,10.638298,10.638298,21.276596
69,2ET8,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
70,1TOB,0.703704,0.5,0.037037,0.259259,0.444444,0.62963,0.925926,0.384615,0.192308,703.703674,444.444458,259.259247,222.222229,222.222229,74.074074,148.148148,111.111115,296.296295,148.148148,222.222229,37.037037,111.111115,111.111115,0.0,74.074074,37.037037,111.111115,37.037037,74.074074,37.037037,0.0,37.037037,37.037037,74.074074,37.037037,0.0,37.037037,37.037037,74.074074,0.0,37.037037,37.037037
71,1Y27,0.764706,0.373134,0.014706,0.235294,0.470588,0.75,0.985294,0.268657,0.343284,764.705872,573.529419,191.176468,176.470581,117.647057,191.176468,147.058823,147.058823,441.176483,132.352936,132.352936,44.117645,117.647057,58.823528,44.117645,44.117645,88.235291,73.529411,29.411764,14.705882,117.647057,58.823528,14.705882,44.117645,58.823528,44.117645,44.117645,29.411764,73.529411,14.705882,58.823528,29.411764,0.0
72,1O15,0.666667,0.40625,0.030303,0.212121,0.484848,0.727273,0.969697,0.34375,0.125,666.666687,454.545441,212.121216,181.818176,181.818176,60.60606,151.515152,60.60606,242.42424,212.121216,90.909088,90.909088,181.818176,0.0,90.909088,151.515152,30.30303,90.909088,90.909088,0.0,30.30303,30.30303,0.0,121.21212,0.0,30.30303,60.60606,0.0,30.30303,30.30303,0.0,0.0,30.30303
73,2FCZ,0.73913,0.5,0.086957,0.26087,0.434783,0.782609,1.0,0.409091,0.181818,739.130432,478.260864,217.391312,260.869568,217.391312,43.47826,173.91304,130.434784,304.347839,130.434784,217.391312,0.0,173.91304,86.95652,0.0,43.47826,43.47826,173.91304,0.0,43.47826,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,43.47826,86.95652,0.0,0.0,43.47826
74,1FYP,0.666667,0.5,0.037037,0.185185,0.555556,0.740741,0.925926,0.346154,0.153846,666.666687,407.40741,259.259247,222.222229,148.148148,111.111115,185.185181,37.037037,259.259247,148.148148,185.185181,74.074074,111.111115,111.111115,37.037037,37.037037,74.074074,74.074074,74.074074,0.0,37.037037,74.074074,0.0,37.037037,111.111115,37.037037,0.0,0.0,37.037037,0.0,0.0,111.111115,0.0
75,1NEM,0.826087,0.227273,0.043478,0.26087,0.521739,0.695652,0.913043,0.136364,0.181818,826.086975,695.652161,130.434784,86.95652,86.95652,86.95652,43.47826,86.95652,565.217407,130.434784,86.95652,43.47826,86.95652,0.0,0.0,86.95652,86.95652,43.47826,0.0,43.47826,0.0,43.47826,43.47826,43.47826,0.0,0.0,0.0,43.47826,86.95652,0.0,0.0,0.0,43.47826
76,1HNW,0.666667,0.6,0.333333,0.333333,0.5,0.666667,1.0,0.0,0.0,666.666687,333.333344,166.666672,333.333344,0.0,0.0,0.0,0.0,166.666672,166.666672,166.666672,0.0,166.666672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1Y26,0.830986,0.242857,0.028169,0.28169,0.492958,0.760563,1.0,0.1,0.342857,830.985901,704.225342,112.676056,126.760567,56.338028,154.929581,42.253521,183.098587,605.633789,84.507042,70.422539,42.253521,98.591553,28.169014,42.253521,28.169014,98.591553,0.0,28.169014,28.169014,98.591553,14.084507,42.253521,14.084507,14.084507,14.084507,14.084507,28.169014,112.676056,14.084507,42.253521,14.084507,56.338028
78,2O3X,0.695652,0.5,0.043478,0.217391,0.565217,0.73913,0.956522,0.409091,0.227273,695.652161,434.782623,260.869568,217.391312,173.91304,130.434784,217.391312,86.95652,304.347839,130.434784,173.91304,43.47826,86.95652,130.434784,43.47826,0.0,86.95652,86.95652,43.47826,0.0,43.47826,86.95652,0.0,43.47826,130.434784,43.47826,43.47826,0.0,43.47826,43.47826,0.0,86.95652,43.47826
79,1PBR,0.666667,0.5,0.037037,0.185185,0.555556,0.740741,0.925926,0.346154,0.153846,666.666687,407.40741,259.259247,222.222229,148.148148,111.111115,185.185181,37.037037,259.259247,148.148148,185.185181,74.074074,111.111115,111.111115,37.037037,37.037037,74.074074,74.074074,74.074074,0.0,37.037037,74.074074,0.0,37.037037,111.111115,37.037037,0.0,0.0,37.037037,0.0,0.0,111.111115,0.0
80,3GX2,0.765957,0.301075,0.010638,0.212766,0.521277,0.776596,1.0,0.247312,0.16129,765.957458,606.382996,148.936172,148.936172,127.659576,74.468086,117.021278,85.106384,457.446808,148.936172,85.106384,63.829788,138.297867,0.0,63.829788,106.38298,53.19149,53.19149,53.19149,21.276596,42.553192,10.638298,21.276596,95.744682,0.0,10.638298,53.19149,21.276596,53.19149,21.276596,10.638298,10.638298,21.276596
81,1MWL,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
82,1Y26,0.830986,0.242857,0.028169,0.28169,0.492958,0.760563,1.0,0.1,0.342857,830.985901,704.225342,112.676056,126.760567,56.338028,154.929581,42.253521,183.098587,605.633789,84.507042,70.422539,42.253521,98.591553,28.169014,42.253521,28.169014,98.591553,0.0,28.169014,28.169014,98.591553,14.084507,42.253521,14.084507,14.084507,14.084507,14.084507,28.169014,112.676056,14.084507,42.253521,14.084507,56.338028
83,3SUX,0.782178,0.35,0.009901,0.227723,0.455446,0.712871,0.990099,0.26,0.23,782.178223,603.960388,178.217819,168.316833,128.712875,118.811882,128.712875,108.910889,475.247528,128.712875,128.712875,39.603962,118.811882,49.504951,39.603962,59.405941,59.405941,89.10891,29.702971,9.90099,69.306931,19.801981,29.702971,59.405941,29.702971,39.603962,19.801981,19.801981,49.504951,39.603962,19.801981,19.801981,19.801981
84,4FE5,0.746269,0.378788,0.014925,0.223881,0.462687,0.746269,0.970149,0.287879,0.333333,746.268677,552.238831,194.029846,179.104477,134.328354,179.104477,149.253738,149.253738,417.910461,134.328354,134.328354,59.701492,119.402985,59.701492,44.776119,59.701492,59.701492,89.552238,29.850746,14.925373,119.402985,44.776119,14.925373,44.776119,59.701492,44.776119,44.776119,29.850746,59.701492,14.925373,74.626869,14.925373,0.0
85,1F1T,0.736842,0.297297,0.026316,0.289474,0.5,0.763158,0.947368,0.216216,0.189189,736.842102,578.947388,157.89473,131.578949,105.263161,105.263161,105.263161,78.947365,421.052643,157.89473,78.947365,78.947365,131.578949,0.0,52.63158,105.263161,105.263161,52.63158,26.31579,26.31579,52.63158,52.63158,0.0,105.263161,0.0,0.0,52.63158,26.31579,78.947365,0.0,0.0,0.0,0.0
86,2OE5,0.705882,0.3125,0.058824,0.176471,0.411765,0.588235,0.823529,0.1875,0.25,705.882324,529.411743,176.470581,117.647057,117.647057,117.647057,58.823528,117.647057,411.764709,117.647057,117.647057,58.823528,58.823528,58.823528,0.0,0.0,117.647057,0.0,58.823528,58.823528,58.823528,58.823528,0.0,0.0,58.823528,0.0,0.0,58.823528,58.823528,58.823528,0.0,58.823528,0.0
87,1BYJ,0.666667,0.5,0.037037,0.185185,0.555556,0.740741,0.925926,0.346154,0.153846,666.666687,407.40741,259.259247,222.222229,148.148148,111.111115,185.185181,37.037037,259.259247,148.148148,185.185181,74.074074,111.111115,111.111115,37.037037,37.037037,74.074074,74.074074,74.074074,0.0,37.037037,74.074074,0.0,37.037037,111.111115,37.037037,0.0,0.0,37.037037,0.0,0.0,111.111115,0.0
88,1FJG,0.718791,0.376068,0.000657,0.248357,0.49343,0.743101,1.0,0.295858,0.17883,718.791077,530.223389,187.910645,187.910645,153.088043,84.099869,142.575562,94.61235,392.904083,137.319321,124.835739,63.074902,136.662292,50.591328,63.074902,86.727989,52.562416,78.1866,51.248356,23.653088,51.905388,18.396847,13.797635,77.529564,40.735874,24.310118,47.963207,27.59527,61.760841,25.624178,7.227333,16.425756,15.111695
89,1EHT,0.666667,0.40625,0.030303,0.212121,0.484848,0.727273,0.969697,0.34375,0.125,666.666687,454.545441,212.121216,181.818176,181.818176,60.60606,151.515152,60.60606,242.42424,212.121216,90.909088,90.909088,181.818176,0.0,90.909088,151.515152,30.30303,90.909088,90.909088,0.0,30.30303,30.30303,0.0,121.21212,0.0,30.30303,60.60606,0.0,30.30303,30.30303,0.0,0.0,30.30303
