,A,SHDCA: Strong H-Bond donors composition of A,SHDAB: Strong H-Bond donors transition between A and B,SHDA0: Strong H-Bond donors distribution of 0.00A,SHDA1: Strong H-Bond donors distribution of 0.25A,SHDA2: Strong H-Bond donors distribution of 0.50A,SHDA3: Strong H-Bond donors distribution of 0.75A,SHDA4: Strong H-Bond donors distribution of 1.00A,MLFCA: Linear free energy composition of A,MLFCB: Linear free energy composition of B,MLFAB: Linear free energy transition between A and B,MLFA0: Linear free energy distribution of 0.00A,MLFA1: Linear free energy distribution of 0.25A,MLFA2: Linear free energy distribution of 0.50A,MLFA3: Linear free energy distribution of 0.75A,MLFA4: Linear free energy distribution of 1.00A,MLFB0: Linear free energy distribution of 0.00B,MLFB1: Linear free energy distribution of 0.25B,MLFB2: Linear free energy distribution of 0.50B,MLFB3: Linear free energy distribution of 0.75B,MLFB4: Linear free energy distribution of 1.00B,SHAAB: Strong H-Bond acceptors_3 transition between A and B,SHAAC: Strong H-Bond acceptors_3 transition between A and C,PHBAB: Potential Hydrogen Bonds_3 transition between A and B,PHBAC: Potential Hydrogen Bonds_3 transition between A and C,SHD: Strong H-Bond donors0,MLF: Linear free energy0,MLF: Linear free energy1,SHD: Strong H-Bond donors00,SHD: Strong H-Bond donors01,SHD: Strong H-Bond donors10,MLF: Linear free energy00,MLF: Linear free energy01,MLF: Linear free energy10,MLF: Linear free energy11,SHA: Strong H-Bond acceptors_301,SHA: Strong H-Bond acceptors_302,SHA: Strong H-Bond acceptors_310,SHA: Strong H-Bond acceptors_320,PHB: Potential Hydrogen Bonds_301,PHB: Potential Hydrogen Bonds_302,PHB: Potential Hydrogen Bonds_310,PHB: Potential Hydrogen Bonds_320,SHD: Strong H-Bond donors000,SHD: Strong H-Bond donors001,SHD: Strong H-Bond donors010,SHD: Strong H-Bond donors011,SHD: Strong H-Bond donors100,SHD: Strong H-Bond donors101,SHD: Strong H-Bond donors110,MLF: Linear free energy000,MLF: Linear free energy001,MLF: Linear free energy010,MLF: Linear free energy011,MLF: Linear free energy100,MLF: Linear free energy101,MLF: Linear free energy110,MLF: Linear free energy111,SHA: Strong H-Bond acceptors_3001,SHA: Strong H-Bond acceptors_3002,SHA: Strong H-Bond acceptors_3010,SHA: Strong H-Bond acceptors_3011,SHA: Strong H-Bond acceptors_3012,SHA: Strong H-Bond acceptors_3020,SHA: Strong H-Bond acceptors_3021,SHA: Strong H-Bond acceptors_3022,SHA: Strong H-Bond acceptors_3100,SHA: Strong H-Bond acceptors_3101,SHA: Strong H-Bond acceptors_3102,SHA: Strong H-Bond acceptors_3110,SHA: Strong H-Bond acceptors_3120,SHA: Strong H-Bond acceptors_3200,SHA: Strong H-Bond acceptors_3201,SHA: Strong H-Bond acceptors_3202,SHA: Strong H-Bond acceptors_3210,SHA: Strong H-Bond acceptors_3220,PHB: Potential Hydrogen Bonds_3001,PHB: Potential Hydrogen Bonds_3002,PHB: Potential Hydrogen Bonds_3010,PHB: Potential Hydrogen Bonds_3011,PHB: Potential Hydrogen Bonds_3012,PHB: Potential Hydrogen Bonds_3020,PHB: Potential Hydrogen Bonds_3021,PHB: Potential Hydrogen Bonds_3022,PHB: Potential Hydrogen Bonds_3100,PHB: Potential Hydrogen Bonds_3101,PHB: Potential Hydrogen Bonds_3102,PHB: Potential Hydrogen Bonds_3110,PHB: Potential Hydrogen Bonds_3120,PHB: Potential Hydrogen Bonds_3200,PHB: Potential Hydrogen Bonds_3201,PHB: Potential Hydrogen Bonds_3202,PHB: Potential Hydrogen Bonds_3210,PHB: Potential Hydrogen Bonds_3220
23,2OE5,0.764706,0.3125,0.176471,0.294118,0.470588,0.764706,1.0,0.470588,0.529412,0.375,0.176471,0.235294,0.411765,0.529412,0.705882,0.058824,0.117647,0.647059,0.882353,1.0,0.1875,0.25,0.1875,0.1875,764.705872,470.588226,529.411743,588.235291,117.647057,176.470581,294.117645,176.470581,176.470581,294.117645,117.647057,117.647057,58.823528,117.647057,117.647057,58.823528,58.823528,117.647057,411.764709,117.647057,117.647057,0.0,176.470581,0.0,58.823528,176.470581,117.647057,117.647057,58.823528,117.647057,58.823528,58.823528,176.470581,58.823528,58.823528,0.0,58.823528,58.823528,58.823528,0.0,58.823528,58.823528,0.0,0.0,58.823528,58.823528,0.0,58.823528,58.823528,0.0,0.0,58.823528,58.823528,58.823528,0.0,58.823528,58.823528,0.0,0.0,58.823528,0.0,0.0,0.0,0.0,58.823528,58.823528,0.0,0.0,58.823528
24,1EI2,0.72,0.458333,0.12,0.32,0.6,0.8,1.0,0.44,0.56,0.75,0.16,0.32,0.52,0.68,0.96,0.04,0.2,0.44,0.72,1.0,0.166667,0.208333,0.375,0.375,720.0,440.0,560.0,480.0,200.0,240.0,80.0,360.0,360.0,160.0,80.0,120.0,80.0,80.0,200.0,160.0,160.0,200.0,360.0,80.0,200.0,0.0,120.0,120.0,40.0,0.0,80.0,240.0,80.0,80.0,280.0,120.0,40.0,80.0,120.0,40.0,0.0,40.0,0.0,80.0,0.0,80.0,0.0,0.0,0.0,40.0,80.0,0.0,0.0,40.0,40.0,80.0,0.0,80.0,40.0,40.0,160.0,0.0,0.0,40.0,80.0,40.0,40.0,40.0,40.0,40.0,120.0,40.0,0.0
25,1NTA,0.666667,0.352941,0.055556,0.277778,0.444444,0.722222,1.0,0.277778,0.722222,0.470588,0.277778,0.277778,0.444444,0.888889,0.944444,0.055556,0.166667,0.388889,0.722222,1.0,0.117647,0.352941,0.352941,0.117647,666.666687,277.777771,722.222229,444.444458,166.666672,166.666672,55.555557,222.222229,222.222229,444.444458,55.555557,166.666672,55.555557,166.666672,222.222229,0.0,111.111115,111.111115,277.777771,111.111115,0.0,166.666672,166.666672,0.0,166.666672,0.0,55.555557,0.0,166.666672,55.555557,166.666672,222.222229,222.222229,55.555557,111.111115,55.555557,0.0,0.0,55.555557,55.555557,0.0,0.0,0.0,55.555557,0.0,55.555557,166.666672,0.0,0.0,0.0,0.0,55.555557,0.0,0.0,55.555557,111.111115,0.0,0.0,0.0,0.0,111.111115,0.0,55.555557,0.0,55.555557,55.555557,0.0,55.555557,111.111115
26,2FCZ,0.73913,0.5,0.043478,0.217391,0.478261,0.73913,0.956522,0.478261,0.521739,0.727273,0.086957,0.26087,0.478261,0.695652,0.956522,0.043478,0.217391,0.521739,0.73913,1.0,0.181818,0.227273,0.363636,0.363636,739.130432,478.260864,521.739136,478.260864,260.869568,217.391312,130.434784,347.82608,347.82608,130.434784,43.47826,130.434784,130.434784,86.95652,86.95652,260.869568,260.869568,86.95652,260.869568,217.391312,217.391312,0.0,173.91304,43.47826,0.0,0.0,130.434784,173.91304,130.434784,130.434784,217.391312,130.434784,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,86.95652,0.0,86.95652,0.0,0.0,43.47826,0.0,0.0,130.434784,86.95652,0.0,0.0,86.95652,130.434784,0.0,86.95652,86.95652,86.95652,0.0,0.0,43.47826,0.0,43.47826,130.434784,0.0
27,1FUF,0.714286,0.230769,0.214286,0.285714,0.5,0.857143,1.0,0.5,0.5,0.307692,0.214286,0.285714,0.428571,0.5,0.857143,0.071429,0.142857,0.642857,0.714286,1.0,0.230769,0.153846,0.153846,0.153846,714.285706,500.0,500.0,571.428589,71.428574,142.857147,357.142853,142.857147,142.857147,285.714294,142.857147,71.428574,71.428574,71.428574,142.857147,0.0,0.0,142.857147,428.571442,71.428574,0.0,71.428574,142.857147,0.0,142.857147,214.285721,142.857147,0.0,142.857147,142.857147,0.0,142.857147,71.428574,142.857147,71.428574,71.428574,0.0,71.428574,71.428574,0.0,0.0,71.428574,0.0,0.0,0.0,0.0,71.428574,0.0,0.0,0.0,0.0,142.857147,0.0,0.0,71.428574,71.428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.857147,0.0,0.0,0.0,142.857147
28,2BEE,0.681818,0.571429,0.045455,0.272727,0.454545,0.727273,1.0,0.318182,0.681818,0.571429,0.227273,0.318182,0.636364,0.727273,0.863636,0.045455,0.181818,0.5,0.681818,1.0,0.095238,0.380952,0.285714,0.285714,681.818176,318.181824,681.818176,363.636353,272.727264,272.727264,45.454544,272.727264,272.727264,363.636353,45.454544,181.818176,45.454544,181.818176,181.818176,90.909088,90.909088,181.818176,227.27272,136.363632,227.27272,45.454544,136.363632,90.909088,45.454544,0.0,45.454544,181.818176,90.909088,45.454544,227.27272,90.909088,227.27272,45.454544,90.909088,0.0,45.454544,0.0,90.909088,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0,90.909088,0.0,90.909088,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,90.909088,0.0,0.0,0.0,90.909088,0.0,0.0,45.454544,45.454544,90.909088,45.454544,0.0,45.454544
29,1KOD,0.642857,0.461538,0.071429,0.142857,0.428571,0.785714,1.0,0.428571,0.571429,0.461538,0.071429,0.357143,0.428571,0.5,1.0,0.142857,0.214286,0.571429,0.785714,0.928571,0.153846,0.384615,0.230769,0.230769,642.857117,428.571442,571.428589,357.142853,214.285721,214.285721,142.857147,214.285721,214.285721,357.142853,71.428574,142.857147,71.428574,214.285721,142.857147,71.428574,71.428574,142.857147,71.428574,214.285721,71.428574,142.857147,214.285721,0.0,142.857147,71.428574,71.428574,0.0,214.285721,71.428574,71.428574,214.285721,142.857147,71.428574,71.428574,71.428574,0.0,0.0,142.857147,0.0,0.0,71.428574,0.0,0.0,0.0,71.428574,71.428574,0.0,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,142.857147,0.0,0.0,71.428574,0.0,0.0,0.0,0.0,0.0,71.428574,71.428574,0.0,71.428574,142.857147
30,1YRJ,0.695652,0.545455,0.043478,0.26087,0.434783,0.73913,1.0,0.391304,0.608696,0.590909,0.043478,0.086957,0.347826,0.73913,0.869565,0.130435,0.304348,0.521739,0.695652,1.0,0.090909,0.318182,0.272727,0.318182,695.652161,391.304352,608.695679,391.304352,260.869568,260.869568,86.95652,304.347839,260.869568,304.347839,43.47826,173.91304,43.47826,130.434784,173.91304,130.434784,86.95652,173.91304,217.391312,173.91304,217.391312,43.47826,130.434784,86.95652,43.47826,0.0,86.95652,173.91304,130.434784,43.47826,217.391312,86.95652,173.91304,43.47826,130.434784,0.0,43.47826,0.0,86.95652,43.47826,0.0,43.47826,0.0,0.0,43.47826,0.0,86.95652,0.0,43.47826,0.0,43.47826,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,43.47826,43.47826,86.95652,43.47826,0.0,43.47826
31,1PBR,0.666667,0.423077,0.111111,0.259259,0.444444,0.777778,1.0,0.333333,0.666667,0.538462,0.185185,0.259259,0.444444,0.740741,0.851852,0.037037,0.148148,0.518519,0.814815,1.0,0.076923,0.346154,0.307692,0.230769,666.666687,333.333344,666.666687,444.444458,185.185181,222.222229,74.074074,259.259247,259.259247,370.370361,37.037037,185.185181,37.037037,148.148148,185.185181,74.074074,111.111115,148.148148,296.296295,111.111115,148.148148,37.037037,148.148148,74.074074,74.074074,0.0,74.074074,148.148148,111.111115,74.074074,185.185181,111.111115,222.222229,37.037037,148.148148,0.0,37.037037,0.0,111.111115,37.037037,37.037037,37.037037,0.0,0.0,37.037037,0.0,111.111115,0.0,37.037037,0.0,37.037037,37.037037,37.037037,74.074074,37.037037,74.074074,74.074074,0.0,0.0,37.037037,74.074074,0.0,37.037037,37.037037,37.037037,74.074074,37.037037,0.0,37.037037
32,1KOC,0.642857,0.461538,0.071429,0.142857,0.428571,0.785714,1.0,0.428571,0.571429,0.615385,0.071429,0.214286,0.428571,0.5,1.0,0.142857,0.285714,0.571429,0.785714,0.928571,0.230769,0.307692,0.307692,0.307692,642.857117,428.571442,571.428589,357.142853,214.285721,214.285721,71.428574,285.714294,285.714294,285.714294,71.428574,142.857147,142.857147,142.857147,142.857147,142.857147,142.857147,142.857147,71.428574,214.285721,71.428574,142.857147,214.285721,0.0,142.857147,0.0,71.428574,71.428574,214.285721,71.428574,142.857147,214.285721,71.428574,71.428574,71.428574,71.428574,0.0,0.0,142.857147,0.0,0.0,142.857147,0.0,0.0,0.0,0.0,0.0,0.0,71.428574,71.428574,0.0,0.0,71.428574,71.428574,0.0,71.428574,0.0,0.0,142.857147,0.0,0.0,71.428574,0.0,0.0,71.428574,71.428574,0.0,71.428574,142.857147
33,2PWT,0.666667,0.55,0.095238,0.285714,0.428571,0.714286,1.0,0.333333,0.666667,0.6,0.190476,0.285714,0.619048,0.714286,0.857143,0.047619,0.238095,0.47619,0.666667,1.0,0.1,0.35,0.3,0.3,666.666687,333.333344,666.666687,380.952393,238.095245,285.714294,47.619049,285.714294,285.714294,333.333344,47.619049,190.476196,47.619049,142.857147,190.476196,95.238098,95.238098,190.476196,238.095245,142.857147,190.476196,47.619049,142.857147,95.238098,47.619049,0.0,47.619049,190.476196,95.238098,47.619049,238.095245,95.238098,190.476196,47.619049,95.238098,0.0,47.619049,0.0,95.238098,47.619049,0.0,47.619049,0.0,0.0,47.619049,0.0,95.238098,0.0,47.619049,0.0,47.619049,0.0,47.619049,95.238098,47.619049,47.619049,95.238098,0.0,0.0,0.0,95.238098,0.0,0.0,47.619049,47.619049,95.238098,47.619049,0.0,47.619049
34,2ET8,0.681818,0.571429,0.045455,0.272727,0.454545,0.727273,1.0,0.318182,0.681818,0.571429,0.227273,0.318182,0.636364,0.727273,0.863636,0.045455,0.181818,0.5,0.681818,1.0,0.095238,0.380952,0.285714,0.285714,681.818176,318.181824,681.818176,363.636353,272.727264,272.727264,45.454544,272.727264,272.727264,363.636353,45.454544,181.818176,45.454544,181.818176,181.818176,90.909088,90.909088,181.818176,227.27272,136.363632,227.27272,45.454544,136.363632,90.909088,45.454544,0.0,45.454544,181.818176,90.909088,45.454544,227.27272,90.909088,227.27272,45.454544,90.909088,0.0,45.454544,0.0,90.909088,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0,90.909088,0.0,90.909088,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,90.909088,0.0,0.0,0.0,90.909088,0.0,0.0,45.454544,45.454544,90.909088,45.454544,0.0,45.454544
35,1LC4,0.695652,0.545455,0.043478,0.26087,0.434783,0.73913,1.0,0.391304,0.608696,0.590909,0.043478,0.086957,0.347826,0.73913,0.869565,0.130435,0.304348,0.521739,0.695652,1.0,0.090909,0.318182,0.272727,0.318182,695.652161,391.304352,608.695679,391.304352,260.869568,260.869568,86.95652,304.347839,260.869568,304.347839,43.47826,173.91304,43.47826,130.434784,173.91304,130.434784,86.95652,173.91304,217.391312,173.91304,217.391312,43.47826,130.434784,86.95652,43.47826,0.0,86.95652,173.91304,130.434784,43.47826,217.391312,86.95652,173.91304,43.47826,130.434784,0.0,43.47826,0.0,86.95652,43.47826,0.0,43.47826,0.0,0.0,43.47826,0.0,86.95652,0.0,43.47826,0.0,43.47826,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,43.47826,43.47826,86.95652,43.47826,0.0,43.47826
36,1AJU,0.633333,0.448276,0.1,0.266667,0.5,0.766667,1.0,0.333333,0.666667,0.551724,0.166667,0.233333,0.366667,0.733333,0.866667,0.033333,0.2,0.533333,0.766667,1.0,0.241379,0.344828,0.241379,0.310345,633.333313,333.333344,666.666687,400.0,200.0,233.333328,66.666664,266.666656,266.666656,366.666656,100.0,200.0,133.333328,133.333328,66.666664,200.0,166.666672,100.0,233.333328,133.333328,133.333328,66.666664,166.666672,66.666664,100.0,33.333332,33.333332,133.333328,133.333328,33.333332,233.333328,133.333328,200.0,66.666664,66.666664,100.0,0.0,0.0,100.0,0.0,100.0,33.333332,33.333332,66.666664,0.0,0.0,66.666664,0.0,66.666664,33.333332,33.333332,0.0,33.333332,66.666664,0.0,0.0,66.666664,66.666664,66.666664,0.0,66.666664,100.0,66.666664,0.0,33.333332,0.0,66.666664,33.333332,33.333332
37,1O9M,0.681818,0.571429,0.045455,0.272727,0.454545,0.727273,1.0,0.318182,0.681818,0.571429,0.227273,0.318182,0.636364,0.727273,0.863636,0.045455,0.181818,0.5,0.681818,1.0,0.095238,0.380952,0.285714,0.285714,681.818176,318.181824,681.818176,363.636353,272.727264,272.727264,45.454544,272.727264,272.727264,363.636353,45.454544,181.818176,45.454544,181.818176,181.818176,90.909088,90.909088,181.818176,227.27272,136.363632,227.27272,45.454544,136.363632,90.909088,45.454544,0.0,45.454544,181.818176,90.909088,45.454544,227.27272,90.909088,227.27272,45.454544,90.909088,0.0,45.454544,0.0,90.909088,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0,90.909088,0.0,90.909088,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,90.909088,0.0,0.0,0.0,90.909088,0.0,0.0,45.454544,45.454544,90.909088,45.454544,0.0,45.454544
38,2F4S,0.666667,0.55,0.095238,0.285714,0.428571,0.714286,1.0,0.333333,0.666667,0.6,0.190476,0.285714,0.619048,0.714286,0.857143,0.047619,0.238095,0.47619,0.666667,1.0,0.1,0.35,0.3,0.3,666.666687,333.333344,666.666687,380.952393,238.095245,285.714294,47.619049,285.714294,285.714294,333.333344,47.619049,190.476196,47.619049,142.857147,190.476196,95.238098,95.238098,190.476196,238.095245,142.857147,190.476196,47.619049,142.857147,95.238098,47.619049,0.0,47.619049,190.476196,95.238098,47.619049,238.095245,95.238098,190.476196,47.619049,95.238098,0.0,47.619049,0.0,95.238098,47.619049,0.0,47.619049,0.0,0.0,47.619049,0.0,95.238098,0.0,47.619049,0.0,47.619049,0.0,47.619049,95.238098,47.619049,47.619049,95.238098,0.0,0.0,0.0,95.238098,0.0,0.0,47.619049,47.619049,95.238098,47.619049,0.0,47.619049
39,1FMN,0.628571,0.5,0.085714,0.342857,0.514286,0.742857,1.0,0.4,0.6,0.470588,0.142857,0.314286,0.4,0.657143,0.885714,0.028571,0.171429,0.542857,0.8,1.0,0.294118,0.264706,0.176471,0.294118,628.571411,400.0,600.0,371.428558,228.571426,257.142853,171.428574,228.571426,228.571426,342.857147,142.857147,142.857147,142.857147,114.285713,85.714287,142.857147,85.714287,142.857147,171.428574,171.428574,142.857147,85.714287,200.0,57.142857,114.285713,57.142857,114.285713,85.714287,142.857147,114.285713,114.285713,142.857147,171.428574,85.714287,114.285713,85.714287,28.571428,28.571428,85.714287,28.571428,28.571428,85.714287,57.142857,0.0,28.571428,28.571428,85.714287,0.0,28.571428,28.571428,0.0,28.571428,85.714287,28.571428,0.0,57.142857,57.142857,28.571428,57.142857,28.571428,28.571428,28.571428,0.0,28.571428,85.714287,28.571428,28.571428,57.142857,57.142857
40,2FD0,0.73913,0.5,0.043478,0.217391,0.478261,0.73913,0.956522,0.478261,0.521739,0.727273,0.086957,0.26087,0.478261,0.695652,0.956522,0.043478,0.217391,0.521739,0.73913,1.0,0.181818,0.227273,0.363636,0.363636,739.130432,478.260864,521.739136,478.260864,260.869568,217.391312,130.434784,347.82608,347.82608,130.434784,43.47826,130.434784,130.434784,86.95652,86.95652,260.869568,260.869568,86.95652,260.869568,217.391312,217.391312,0.0,173.91304,43.47826,0.0,0.0,130.434784,173.91304,130.434784,130.434784,217.391312,130.434784,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,86.95652,0.0,86.95652,0.0,0.0,43.47826,0.0,0.0,130.434784,86.95652,0.0,0.0,86.95652,130.434784,0.0,86.95652,86.95652,86.95652,0.0,0.0,43.47826,0.0,43.47826,130.434784,0.0
41,3D2X,0.649351,0.434211,0.051948,0.272727,0.506494,0.74026,1.0,0.428571,0.571429,0.578947,0.051948,0.272727,0.506494,0.727273,0.987013,0.012987,0.181818,0.480519,0.792208,1.0,0.197368,0.184211,0.223684,0.355263,649.350647,428.571442,571.428589,428.571442,207.792206,220.779221,142.857147,285.714294,285.714294,272.727264,90.909088,103.896103,103.896103,77.922081,90.909088,194.805191,129.870132,155.844162,272.727264,142.857147,155.844162,51.948051,155.844162,64.935066,64.935066,51.948051,90.909088,142.857147,129.870132,90.909088,194.805191,142.857147,129.870132,77.922081,90.909088,25.974026,51.948051,12.987013,38.96104,25.974026,25.974026,90.909088,12.987013,0.0,25.974026,0.0,64.935066,0.0,12.987013,51.948051,38.96104,38.96104,51.948051,38.96104,38.96104,0.0,103.896103,38.96104,51.948051,25.974026,12.987013,90.909088,51.948051,0.0,64.935066,38.96104,51.948051,38.96104,51.948051
42,2ET4,0.681818,0.571429,0.045455,0.272727,0.454545,0.727273,1.0,0.318182,0.681818,0.571429,0.227273,0.318182,0.636364,0.727273,0.863636,0.045455,0.181818,0.5,0.681818,1.0,0.095238,0.380952,0.285714,0.285714,681.818176,318.181824,681.818176,363.636353,272.727264,272.727264,45.454544,272.727264,272.727264,363.636353,45.454544,181.818176,45.454544,181.818176,181.818176,90.909088,90.909088,181.818176,227.27272,136.363632,227.27272,45.454544,136.363632,90.909088,45.454544,0.0,45.454544,181.818176,90.909088,45.454544,227.27272,90.909088,227.27272,45.454544,90.909088,0.0,45.454544,0.0,90.909088,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0,90.909088,0.0,90.909088,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,90.909088,0.0,0.0,0.0,90.909088,0.0,0.0,45.454544,45.454544,90.909088,45.454544,0.0,45.454544
43,1NBK,0.676471,0.393939,0.117647,0.323529,0.558824,0.794118,1.0,0.352941,0.647059,0.424242,0.117647,0.235294,0.5,0.676471,0.911765,0.029412,0.264706,0.470588,0.735294,1.0,0.212121,0.363636,0.212121,0.212121,676.470581,352.941162,647.058838,470.588226,176.470581,205.882355,147.058823,205.882355,205.882355,411.764709,117.647057,176.470581,88.235291,176.470581,147.058823,58.823528,58.823528,147.058823,294.117645,147.058823,117.647057,58.823528,176.470581,29.411764,88.235291,29.411764,117.647057,29.411764,176.470581,117.647057,88.235291,176.470581,205.882355,88.235291,29.411764,88.235291,29.411764,0.0,117.647057,0.0,58.823528,0.0,0.0,88.235291,0.0,29.411764,88.235291,29.411764,58.823528,0.0,29.411764,88.235291,29.411764,0.0,58.823528,88.235291,29.411764,29.411764,0.0,29.411764,29.411764,0.0,0.0,29.411764,88.235291,29.411764,29.411764,58.823528,88.235291
44,1KOC,0.642857,0.461538,0.071429,0.142857,0.428571,0.785714,1.0,0.428571,0.571429,0.615385,0.071429,0.214286,0.428571,0.5,1.0,0.142857,0.285714,0.571429,0.785714,0.928571,0.230769,0.307692,0.307692,0.307692,642.857117,428.571442,571.428589,357.142853,214.285721,214.285721,71.428574,285.714294,285.714294,285.714294,71.428574,142.857147,142.857147,142.857147,142.857147,142.857147,142.857147,142.857147,71.428574,214.285721,71.428574,142.857147,214.285721,0.0,142.857147,0.0,71.428574,71.428574,214.285721,71.428574,142.857147,214.285721,71.428574,71.428574,71.428574,71.428574,0.0,0.0,142.857147,0.0,0.0,142.857147,0.0,0.0,0.0,0.0,0.0,0.0,71.428574,71.428574,0.0,0.0,71.428574,71.428574,0.0,71.428574,0.0,0.0,142.857147,0.0,0.0,71.428574,0.0,0.0,71.428574,71.428574,0.0,71.428574,142.857147
45,1XPF,0.695652,0.5,0.043478,0.217391,0.565217,0.73913,0.956522,0.434783,0.565217,0.727273,0.086957,0.130435,0.478261,0.782609,0.956522,0.043478,0.217391,0.434783,0.73913,1.0,0.181818,0.227273,0.363636,0.363636,695.652161,434.782623,565.217407,434.782623,260.869568,217.391312,86.95652,347.82608,347.82608,173.91304,43.47826,130.434784,130.434784,86.95652,86.95652,260.869568,260.869568,86.95652,260.869568,173.91304,173.91304,43.47826,130.434784,86.95652,43.47826,0.0,86.95652,130.434784,173.91304,86.95652,260.869568,173.91304,0.0,43.47826,86.95652,43.47826,0.0,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,43.47826,0.0,86.95652,0.0,0.0,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,130.434784,43.47826,86.95652,86.95652,86.95652,0.0,0.0,0.0,0.0,86.95652,130.434784,43.47826
46,1EHT,0.666667,0.46875,0.090909,0.272727,0.484848,0.69697,1.0,0.333333,0.666667,0.375,0.151515,0.212121,0.484848,0.69697,0.969697,0.030303,0.272727,0.545455,0.757576,1.0,0.21875,0.3125,0.15625,0.21875,666.666687,333.333344,666.666687,424.242432,212.121216,242.42424,151.515152,181.818176,181.818176,454.545441,90.909088,181.818176,121.21212,121.21212,60.60606,121.21212,90.909088,90.909088,242.42424,151.515152,151.515152,60.60606,181.818176,60.60606,90.909088,60.60606,90.909088,0.0,151.515152,90.909088,90.909088,181.818176,272.727264,0.0,121.21212,30.30303,30.30303,30.30303,60.60606,30.30303,60.60606,30.30303,30.30303,60.60606,30.30303,0.0,60.60606,60.60606,0.0,60.60606,60.60606,30.30303,60.60606,0.0,30.30303,0.0,0.0,60.60606,60.60606,30.30303,0.0,60.60606,60.60606,90.909088,60.60606,30.30303,0.0,30.30303,0.0
47,1Q8N,0.657895,0.459459,0.078947,0.236842,0.526316,0.789474,1.0,0.394737,0.605263,0.486486,0.078947,0.289474,0.657895,0.789474,0.947368,0.026316,0.210526,0.447368,0.631579,1.0,0.351351,0.216216,0.162162,0.324324,657.894714,394.736847,605.263184,421.052643,210.526321,236.842102,157.89473,236.842102,236.842102,342.105255,184.210526,105.263161,157.89473,105.263161,105.263161,131.578949,52.63158,184.210526,263.157898,131.578949,131.578949,78.947365,157.89473,78.947365,105.263161,52.63158,105.263161,52.63158,184.210526,105.263161,131.578949,184.210526,131.578949,78.947365,26.31579,105.263161,52.63158,26.31579,26.31579,0.0,78.947365,52.63158,26.31579,78.947365,26.31579,52.63158,26.31579,78.947365,0.0,26.31579,26.31579,78.947365,26.31579,26.31579,52.63158,26.31579,26.31579,26.31579,78.947365,0.0,0.0,52.63158,26.31579,78.947365,105.263161,26.31579,52.63158,0.0,78.947365
48,1F1T,0.657895,0.459459,0.078947,0.236842,0.526316,0.789474,1.0,0.394737,0.605263,0.486486,0.078947,0.289474,0.657895,0.789474,0.947368,0.026316,0.210526,0.447368,0.631579,1.0,0.351351,0.216216,0.162162,0.324324,657.894714,394.736847,605.263184,421.052643,210.526321,236.842102,157.89473,236.842102,236.842102,342.105255,184.210526,105.263161,157.89473,105.263161,105.263161,131.578949,52.63158,184.210526,263.157898,131.578949,131.578949,78.947365,157.89473,78.947365,105.263161,52.63158,105.263161,52.63158,184.210526,105.263161,131.578949,184.210526,131.578949,78.947365,26.31579,105.263161,52.63158,26.31579,26.31579,0.0,78.947365,52.63158,26.31579,78.947365,26.31579,52.63158,26.31579,78.947365,0.0,26.31579,26.31579,78.947365,26.31579,26.31579,52.63158,26.31579,26.31579,26.31579,78.947365,0.0,0.0,52.63158,26.31579,78.947365,105.263161,26.31579,52.63158,0.0,78.947365
49,1J7T,0.681818,0.571429,0.045455,0.272727,0.454545,0.727273,1.0,0.318182,0.681818,0.571429,0.227273,0.318182,0.636364,0.727273,0.863636,0.045455,0.181818,0.5,0.681818,1.0,0.095238,0.380952,0.285714,0.285714,681.818176,318.181824,681.818176,363.636353,272.727264,272.727264,45.454544,272.727264,272.727264,363.636353,45.454544,181.818176,45.454544,181.818176,181.818176,90.909088,90.909088,181.818176,227.27272,136.363632,227.27272,45.454544,136.363632,90.909088,45.454544,0.0,45.454544,181.818176,90.909088,45.454544,227.27272,90.909088,227.27272,45.454544,90.909088,0.0,45.454544,0.0,90.909088,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0,90.909088,0.0,90.909088,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,90.909088,0.0,0.0,0.0,90.909088,0.0,0.0,45.454544,45.454544,90.909088,45.454544,0.0,45.454544
